lncRNA,score
RP11-204L24.2,0.439881462
RP5-1027O11.1,0.439868787
STAG3L5P,0.43986245
AC026202.3,0.439802256
RP5-1085F17.4,0.439795921
RP11-298I3.1,0.439770582
RP11-296K13.4,0.439757914
AP006621.8,0.439719913
VIM-AS1,0.439719913
TPT1-AS1,0.439710414
RP4-724E16.2,0.439707248
RP11-269F19.2,0.439672421
NONHSAG002378,0.439662924
MIR600HG,0.439662924
SNORD3A,0.439659758
RP4-584D14.5,0.439656593
USP3-AS1,0.439647096
RUSC1-AS1,0.439647096
HCP5,0.439643931
SPAG5-AS1,0.439628105
CTC-338M12.2,0.439621775
AC016831.7,0.43961861
C22orf43,0.439596456
LINC00667,0.439593291
AC016723.4,0.439590126
RP11-328M4.2,0.439590126
CTD-2127H9.1,0.439586962
AC017101.10,0.439561647
AC009948.5,0.439552155
RP1-168P16.2,0.439545827
TBC1D14,0.439545827
CTC-550B14.7,0.439533171
RP5-977B1.7,0.439526844
RP11-638I2.8,0.439501536
RP11-654A16.3,0.439473068
AP001347.6,0.439450929
hsa-mir-6080,0.439428792
AC005307.3,0.439394009
AC083884.8,0.439390848
RP11-727A23.5,0.439384524
RP11-752G15.6,0.439378201
LINC00476,0.43937504
RP4-781K5.2,0.439362394
ZRANB2-AS1,0.439362394
RP11-452H21.1,0.439333944
RP11-143J12.2,0.439327622
AL589743.1,0.439321301
RP11-474P2.2,0.439314979
NONHSAG031079,0.439286536
RP1-1J6.2,0.439277055
RP11-298J20.4,0.439273895
AC084082.3,0.439264415
RP11-108K3.1,0.439264415
RP11-529K1.4,0.439258095
RP11-156P1.3,0.439258095
THAP7-AS1,0.439239137
AC005616.1,0.439235978
RP11-617D20.1,0.439210703
RP3-510L9.1,0.439185432
CTB-55O6.12,0.439172797
RP11-521B24.5,0.439160163
AC053503.11,0.43914753
TMPO-AS1,0.439144372
CTB-107G13.1,0.439138055
RP5-872K7.7,0.439134897
RP4-622L5.2,0.439122266
LINC00094,0.439100162
RP4-605O3.4,0.439097004
NONHSAG040333,0.439074903
IPO9-AS1,0.439065431
ENTPD1-AS1,0.439043333
CTD-2555O16.2,0.439021237
CTD-2541M15.1,0.439008612
CTC-542B22.2,0.438995988
RP11-120M18.2,0.438980208
NONHSAG020671,0.438954963
CTB-111H14.1,0.438948652
RP11-537H15.3,0.438945497
LINC00470,0.438942341
TPTEP1,0.438923411
NONHSAG049232,0.438920256
AC073130.3,0.438917101
MMP24-AS1,0.438907636
FBXL19-AS1,0.438901327
RP11-944L7.4,0.438895017
NONHSAG004866,0.438882399
RP1-20N2.6,0.438879245
RP11-106M3.3,0.438876091
MIRLET7DHG,0.438876091
LA16c-358B7.3,0.438872936
AC005944.2,0.438869782
RP11-399K21.11,0.438857166
RP11-442H21.2,0.438831935
RP11-513I15.6,0.43881932
RP11-712B9.2,0.438813013
RP5-1142A6.2,0.438813013
GUSBP4,0.438806707
AC144449.1,0.438794094
AC005037.3,0.438787788
AD000090.2,0.438765717
NONHSAG036921,0.438740497
RP11-770J1.3,0.438715279
RP11-336A10.2,0.438712127
RP11-6N13.1,0.438708975
S100A13,0.438696368
RP11-100L22.2,0.438696368
AC093391.2,0.438696368
SH3BP5-AS1,0.438690065
XXbac-B461K10.4,0.43868061
RP11-566K11.7,0.438674307
AC002116.7,0.438671156
HMGN2P28,0.438652248
PTPRG-AS1,0.438636493
RP11-1103G16.1,0.438627041
RP11-977G19.11,0.438604987
AP000487.5,0.438604987
RP11-243J16.7,0.438601836
MAP3K14-AS1,0.438598686
RP11-22P4.1,0.438589235
CLDN12,0.438582935
RP11-317G6.1,0.438573485
RP11-138I1.4,0.438573485
VPS9D1-AS1,0.438570335
SLC7A11-AS1,0.438554586
RP11-66N24.4,0.438532539
RP11-15B17.1,0.438523091
RP11-382A20.7,0.438519942
RP11-8L2.1,0.438507346
SBF2-AS1,0.438504197
RP3-460G2.2,0.438501048
RP11-506H20.1,0.438501048
CTC-429P9.2,0.43845067
RP11-779O18.3,0.438444374
UBOX5-AS1,0.438438078
DLGAP1-AS1,0.438438078
CT49,0.438431782
PDXDC2P,0.438422338
RP4-816N1.6,0.438419191
RP11-773H22.4,0.438412895
AC006547.13,0.438387715
ZEB2-AS1,0.438378274
RP11-45M22.3,0.438371979
RP4-756H11.3,0.438356245
RP11-54A4.2,0.438353098
RP11-21A7A.2,0.438349951
RP11-124N14.3,0.438343658
STX18-AS1,0.438340511
AC015849.13,0.438340511
RP5-821D11.7,0.438327925
COX10-AS1,0.438318486
AC007566.10,0.438318486
RP11-152N13.5,0.438283879
RP11-24C3.2,0.438277587
PROSER2-AS1,0.438277587
NOP14-AS1,0.438258714
CTD-2647L4.4,0.438246133
AC074286.1,0.438242987
AC074391.1,0.438236697
RP11-21B21.4,0.438233552
RP11-96H19.1,0.438233552
RP1-239B22.5,0.438211537
ANKRD10-IT1,0.438208393
STARD4-AS1,0.438205248
RP11-20B24.5,0.438186381
MIR4523,0.438170659
CTD-2314B22.2,0.438161227
CTD-3138B18.5,0.438151795
RP11-648K4.2,0.438151795
RP11-394O4.4,0.438145507
RP11-69E11.4,0.438142363
AC005786.7,0.438139219
AC005592.2,0.438139219
RP11-326C3.11,0.438139219
AC005104.3,0.438136076
RP11-359D24.1,0.438120358
AC002539.1,0.438110928
RP5-914P20.5,0.438088925
CTC-524C5.2,0.43808264
RP11-99J16__A.2,0.438063783
NONHSAG010965,0.43806064
RP11-1094M14.11,0.43801979
AC007098.1,0.438013506
RP5-886K2.3,0.438010364
EFCAB14-AS1,0.438007222
GS1-124K5.11,0.437994655
RP4-694B14.5,0.437994655
RP11-127I20.7,0.437988372
AC074212.5,0.437978948
RP11-493K19.3,0.437969524
NONHSAG038091,0.437963241
CTD-2369P2.5,0.4379601
RP11-398K22.12,0.437953818
RP4-723E3.1,0.437944395
MIR31HG,0.43792869
RP11-59H7.3,0.437922409
NONHSAG028819,0.437909847
PRR7-AS1,0.437906707
RP11-429B14.1,0.437878445
C14orf37,0.437856466
NONHSAG043637,0.437853326
CTD-2349P21.11,0.437843908
AC007970.1,0.437840768
PXN-AS1,0.437837629
RP11-529H2.2,0.437834489
CTD-2006C1.12,0.437812515
RP11-392P7.6,0.437787404
RP5-1132H15.1,0.437777988
RP11-113K21.4,0.437768573
AC093818.1,0.437765434
CTA-85E5.10,0.437762296
KB-1047C11.2,0.437756019
RP11-382A20.6,0.437746605
MLK7-AS1,0.437737191
AC010761.8,0.437727777
PINK1-AS,0.437724639
AP003419.11,0.437724639
AP000688.14,0.437718364
AC092168.2,0.437708951
LOC100129931,0.437702676
LINC00339,0.437699538
RP11-103J8.1,0.437693263
RP5-1033H22.2,0.437693263
RP11-517O13.1,0.437680714
RP11-670E13.5,0.437680714
RP11-316M1.12,0.437671303
AC005329.7,0.437665029
RP4-537K23.4,0.437658755
RP11-18H7.1,0.437652482
AC018890.6,0.437633662
AC005152.3,0.437630526
RP11-54O7.14,0.437621117
RP11-142G7.2,0.437611708
RP11-131L23.1,0.437608572
RP11-389O22.1,0.437605436
RP11-285F7.2,0.437605436
RP11-529K1.2,0.4376023
RP11-308D16.4,0.437596028
RP11-435B5.4,0.437596028
NBPF18P,0.437589756
RP11-211G3.2,0.43758662
RP11-518L10.5,0.437580348
RP11-504P24.3,0.437577213
AC009495.2,0.437558399
AC097721.2,0.437555264
AC096559.1,0.437530183
CTB-58E17.9,0.437530183
TAPT1-AS1,0.437517643
NONHSAG039865,0.437517643
CTBP1-AS2,0.437514508
RP11-554F20.1,0.437498835
AC129929.5,0.437492566
AP001432.14,0.437486297
RP11-81H3.2,0.437483163
RP11-288I21.1,0.437480028
RP11-191L9.4,0.437480028
RP11-471B22.2,0.437467492
RP11-274H2.2,0.437464357
TP73-AS1,0.437461223
RP11-98I9.4,0.437461223
RP11-219B17.1,0.437458089
RP11-191G24.1,0.437445554
AC098617.1,0.43744242
AC021016.8,0.437433019
RP11-282O18.3,0.437433019
HPN-AS1,0.437429886
RP11-115D19.1,0.437423619
RP11-499F3.2,0.437420485
LINC00202-1,0.437401685
RP11-509J21.1,0.43738602
RP11-395B7.7,0.43738602
AC006378.2,0.437370356
CTD-2017C7.2,0.437354693
MAGI1-AS1,0.437345296
CTC-498J12.3,0.437342163
RP11-775D22.3,0.437339031
RP3-508I15.14,0.437332767
RP11-867G23.3,0.43732337
RP11-296I10.3,0.437310843
CTD-2542L18.1,0.437298315
RP5-964N17.1,0.437285789
RP11-673E1.4,0.437276395
RP11-875O11.2,0.437270132
AC007285.6,0.437270132
AC068718.1,0.437267001
AC006460.2,0.437267001
RP11-484D2.2,0.43726387
RP11-304L19.1,0.43726387
AP000705.7,0.437238822
AC015971.2,0.43723256
LINC00641,0.437188734
RP11-420A23.1,0.437185604
UBL7-AS1,0.437157435
RNF219-AS1,0.437110495
RP11-383J24.5,0.437101109
AC012307.3,0.437101109
RP11-613C6.2,0.43709798
GRM7-AS3,0.437088594
RP11-242D8.1,0.437082336
CTD-2636A23.2,0.437082336
ARAP1-AS1,0.437076079
RP11-159F24.1,0.437063566
RP11-552M11.4,0.437060437
OCIAD1-AS1,0.437057309
LENG8-AS1,0.437047925
RP11-111A22.1,0.437044796
RP11-81N13.1,0.437029157
LINC00649,0.437026029
RP5-1007M22.2,0.437026029
RP11-421L21.3,0.436991626
PMS2P9,0.436988499
CTD-2231E14.8,0.436985372
RP11-215A19.1,0.436985372
AC091153.4,0.436979117
CTC-479C5.17,0.436960355
RP11-385J1.2,0.436960355
RP11-428C19.4,0.436957229
AC012358.8,0.436954102
LOC374443,0.436947848
AC073342.12,0.436944722
AC016683.6,0.436929089
AC018766.6,0.436929089
DGUOK-AS1,0.436929089
GS1-179L18.1,0.436925963
CTD-2162K18.5,0.436925963
EAF1-AS1,0.436916584
AC073333.8,0.436907206
ANKRD18A,0.436891576
RP11-384J4.2,0.436879073
AC017002.1,0.436872821
hsa-mir-8072,0.43686657
RP11-872D17.4,0.43686657
AC002117.1,0.43686657
RP11-498C9.3,0.436854069
RP11-46A10.5,0.436844693
CDKN2B-AS1,0.436835318
PITRM1-AS1,0.436825943
AC010761.9,0.436810319
AC009404.2,0.436810319
AC002480.5,0.436807194
DISC1FP1,0.436800945
PARGP1,0.43679782
RP11-311C24.1,0.43679782
H1FX-AS1,0.43679782
KB-318B8.7,0.436791571
CTD-2561J22.5,0.43677595
RP11-613D13.5,0.436769701
NPPA-AS1,0.436763453
RP11-337C18.8,0.436763453
CTC-458I2.2,0.436747834
RP11-732M18.3,0.436738463
RP11-319G6.1,0.436735339
ERVK3-1,0.436729092
CTB-58E17.3,0.436729092
NONHSAG037420,0.436729092
AC079807.2,0.436697859
RP11-513G19.1,0.436694736
AC083843.1,0.436685367
AC003665.1,0.436663507
CTD-2515A14.1,0.43664165
AP003419.16,0.436638528
RP4-769N13.6,0.436635406
GS1-122H1.2,0.436629162
CTD-2154I11.2,0.436629162
AC004893.11,0.43662604
MEF2C-AS1,0.436619795
CTD-2337A12.1,0.436604186
MIR181A1HG,0.436566728
RP11-256P1.1,0.436557365
GS1-251I9.4,0.436554244
AF131217.1,0.436544881
RP11-44I10.3,0.43654176
ZMYM4-AS1,0.436535519
AC009784.3,0.436529277
AF196970.3,0.436526157
RP11-385F5.4,0.436519915
AP006621.9,0.436510554
CTD-2017D11.1,0.436507434
AC099850.1,0.436494952
AC093415.2,0.436491832
CTD-3239E11.2,0.436485592
RP11-715J22.4,0.436485592
RP3-430N8.11,0.436485592
RP11-382A20.4,0.436476232
ASH1L-AS1,0.436469992
RP5-956O18.2,0.436460633
RP11-434I12.2,0.436448155
RP11-499P20.2,0.436445035
RP11-351A11.1,0.436445035
NONHSAG008404,0.436435677
RP11-665G4.1,0.436426319
C1RL-AS1,0.4364232
CARS-AS1,0.4364232
MIR4720,0.436416962
CTC-436P18.1,0.436413843
ZNF404,0.436401367
PRMT5-AS1,0.436395129
