,X,Y,Sen,FET_p,FPR
1,244,1,0.09090909090909091,0.9809726672541854,0.009943
3,733,1,0.09090909090909091,0.5457918848189788,0.029952
5,1222,1,0.09090909090909091,0.3653891837776266,0.049961
7,1711,3,0.2727272727272727,1.4327917363376708,0.069888
9,2200,5,0.45454545454545453,2.76787623613272,0.089815
