T,X,Y,Sen,FET_p,FPR
5,1474,6,0.09523809523809523,0.8741152395288567,0.049901
10,2948,11,0.1746031746031746,1.244119602912353,0.099837
15,4422,17,0.2698412698412698,1.9058558956117788,0.149738
20,5896,20,0.31746031746031744,1.5800420485172737,0.199742
25,7370,22,0.3492063492063492,1.0984912125854787,0.249779
