Official Symbol Interactor A,Official Symbol Interactor B
Zfp623,Mzf1
Asb15,Tox3
Asb15,Zbtb39
Sp2,Gtf2a1
Sp2,Gmeb2
Pbx4,Jdp2
Pbx4,Pknox2
Zbtb22,Med16
Jdp2,Taf13
Jdp2,Atf2
Jdp2,Hdac3
Jdp2,Hdac1
Jdp2,Hdac2
Gtf2a1,Snapc4
Gtf2a1,Atg7
Gtf2a1,Atp6v1c1
Trps1,Zfp236
Trps1,Dynll1
Trps1,Rnf4
Rbfox2,Med16
Sirt1,Zfp236
Sirt1,Rela
Sirt1,Ep300
Sirt1,Esrra
Sirt1,Nr0b2
Sirt1,Hnf1a
Sirt1,Pax3
Sirt1,Hes1
Sirt1,Neurog2
Sirt1,Acaca
Sirt1,Ppargc1a
Sirt1,Hnf4a
Sirt1,Kat8
Sirt1,Kat5
Sirt1,Mecp2
Sirt1,Ncor1
Sirt1,Ncor2
Sirt1,Clock
Sirt1,Arntl
Sirt1,Per2
Sirt1,Dyrk3
Sirt1,Dyrk1a
Sirt1,Foxo1
Sirt1,Ndn
Sirt1,Cbx5
Sirt1,Cbx3
Wwtr1,Tle6
Wwtr1,Nek1
Wwtr1,Ttf1
Wwtr1,Pax3
Wwtr1,Smad2
Wwtr1,Mpp5
Wwtr1,Lats1
Wwtr1,Yap1
Wwtr1,Ywhae
Wwtr1,Pkd2
Wwtr1,Btrc
Wwtr1,Cul1
Wwtr1,Fbxw11
Wwtr1,Pparg
Wwtr1,Runx2
Wwtr1,Ywhaq
Wwtr1,Abt1
Zbtb48,Myocd
Zbtb48,Hinfp
Zbtb48,Mynn
Zbtb48,Prdm5
Zbtb48,Zbtb17
Zbtb48,Zbtb20
Zbtb48,Zbtb6
Zbtb48,Zfp62
Zbtb48,Zfp92
Zbtb48,Zfp93
Zbtb48,Zfp281
Zbtb48,Zfp287
Zbtb48,Zfp423
Zbtb48,Zfp667
Zbtb48,Zfp710
Zbtb48,Zfp770
Zbtb48,Zfp128
Zfp513,Mzf1
Zfp513,Zfp473
Zfp513,Prdm4
Zfp513,Rbak
Zfp513,Zfp3
Zfp513,Zfp62
Zfp513,Zfp191
Zfp513,Zfp287
Zfp513,Zfp423
Zfp513,Zfp768
Zfp513,Zfp787
Maml1,Tle6
Maml1,Hdac10
Isl2,Zfp446
Foxp1,Tle6
Foxp1,Htt
Foxp1,Ikzf1
Zdhhc15,Tox3
Mzf1,Zfp768
Mzf1,Zfp473
Tle6,Zfp473
Tle6,Ep300
Hdac10,Zfp236
Tfdp2,E2f2
Tfdp2,Gmcl1
Myocd,Hif1an
Myocd,Ep300
Myocd,Hist2h2aa1
Myocd,Hist2h2be
Myocd,H3
Myocd,Hist2h4
Myocd,Ubr5
Myocd,Fbxo32
Med16,Tardbp
Med16,Med23
Med16,Rp1l1
Med16,Trrap
Hlf,Rorb
Tfap2d,Abt1
Tfap2d,Wwtr1
Gmeb2,Zfp277
Tardbp,Nacc1
Tardbp,Rnf112
Tardbp,Hnrnpa0
Tardbp,Hnrnpab
Tardbp,Mrps22
Tardbp,Nxf1
Tardbp,Prpf19
Tardbp,Dap3
Tardbp,Hnrnpdl
Tardbp,Ilf2
Tardbp,Ilf3
Tardbp,Lsm12
Tardbp,Prpf3
Tardbp,Ruvbl2
Tardbp,Srrt
Tardbp,Upf1
Tardbp,Hnrnph1
Tardbp,Ddx5
Tardbp,Tia1
Tardbp,Mtdh
Zfp12,Zfp473
Gtf3c1,Tox3
Gtf3c1,Ighmbp2
Gtf3c1,Nfkb2
Gtf3c1,Polr3c
Zfp768,Zfp473
Zfp768,Zfp191
Zfp768,Zfp287
Zdhhc13,Zbtb39
Rbbp7,Hdac1
Rbbp7,Sumo1
Rbbp7,Hist2h2ac
Rbbp7,Hcfc1
Rbbp7,Hspa4
Rbbp7,Hspe1
Rbbp7,Thop1
Carm1,Ncoa3
Carm1,Mef2c
Carm1,Ncoa2
Carm1,Ncoa1
Carm1,Hist1h3a
Carm1,Flii
Fbxo2,Vcp
Fbxo2,Cul1
Fbxo2,Skp1a
Fbxo2,Sirpa
Fbxo2,Stub1
Ncoa6,Kmt2c
Ncoa6,Trp53bp1
Ncoa6,Ppara
Ncoa6,Pparg
Ncoa6,Thra
Ncoa6,Thrb
Ncoa6,Esr1
Ncoa6,Esr2
Ncoa6,Mafa
Ncoa6,Rbbp5
Ncoa6,Ash2l
Phc3,Bmi1
Phc3,Cbx2
Phc3,Yy1
Phc3,E2f6
Phc3,Sox9
Dnmt3l,Dnmt3a
Dnmt3l,Ehmt2
Dnmt3l,Dnmt3b
Gmnn,Spata24
Gmnn,Tbp
Gmnn,Tbpl1
Gmnn,Gtf2b
Gmnn,Hoxa11
Gmnn,Hoxd10
Gmnn,Scmh1
Gmnn,Hoxa7
Gmnn,Hoxb7
Gmnn,Hoxc8
Gmnn,Hoxc9
Gmnn,Hoxa10
Gmnn,Phc1
Gmnn,Cdt1
Spata24,Gmnn
Spata24,Scmh1
Spata24,Phc2
Spata24,Rnf2
Spata24,Tbpl1
Spata24,Tbp
Spata24,Gtf2b
Spata24,Pcgf2
Ctbp2,Klf3
Ctbp2,Ube2i
Ctbp2,Fhl3
Ctbp2,Hipk1
Ctbp2,Hipk2
Ctbp2,Zfpm1
Fhl3,Ctbp2
Rnf123,Ubac1
Rnf123,Cdkn1b
Rnf123,Actg1
Rnf123,Eef1a1
Rnf123,Flnc
Rnf123,Flnb
Rnf123,Hspa1l
Rnf123,Alb
Rnf123,Myh9
Rnf123,Dsg1a
Rnf123,Usp19
Rnf123,Gabarap
Rnf123,Gabarapl1
Rnf123,Map1lc3b
Esrrb,Pou5f1
Esrrb,Smarcc1
Esrrb,Arid1a
Esrrb,Smarca4
Esrrb,Smarcd1
Esrrb,Pbrm1
Esrrb,Trrap
Esrrb,Ep400
Esrrb,Yeats4
Esrrb,Dmap1
Esrrb,Brd8
Esrrb,Ing3
Esrrb,Mrgbp
Esrrb,Chd4
Esrrb,Gatad2a
Esrrb,Mta2
Esrrb,Mta1
Esrrb,Gatad2b
Esrrb,Mta3
Esrrb,Mbd3
Esrrb,Hdac1
Esrrb,Hdac2
Esrrb,Rbbp4
Esrrb,Med14
Esrrb,Med12
Esrrb,Med23
Esrrb,Med24
Esrrb,Med17
Esrrb,Med1
Esrrb,Med16
Esrrb,Med15
Esrrb,Med13
Esrrb,Med27
Esrrb,Med25
Esrrb,Med13l
Esrrb,Med4
Esrrb,Med26
Esrrb,Med6
Esrrb,Med8
Esrrb,Ccnc
Esrrb,Med30
Esrrb,Med7
Esrrb,Med29
Esrrb,Cdk8
Esrrb,Med18
Esrrb,Med19
Esrrb,Polr2a
Esrrb,Polr2b
Esrrb,Polr2c
Esrrb,Polr2g
Esrrb,Taf9
Esrrb,Taf6
Esrrb,Taf4a
Esrrb,Taf10
Esrrb,Tbp
Esrrb,Wdr5
Esrrb,Hcfc1
Esrrb,Kmt2d
Esrrb,Kmt2c
Esrrb,Ash2l
Esrrb,Rbbp5
Esrrb,Sall4
Esrrb,Nr0b1
Esrrb,Tfcp2l1
Esrrb,Fkbp15
Esrrb,Esrra
Esrrb,Ncoa3
Esrrb,Ubp1
Esrrb,Nrip1
Esrrb,Sall1
Esrrb,Zfp462
Esrrb,Cdk1
Esrrb,Zbtb9
Esrrb,Smarca5
Esrrb,Wiz
Esrrb,Dpf2
Esrrb,Jmjd1c
Esrrb,Tfcp2
Esrrb,L3mbtl2
Esrrb,Kat8
Esrrb,Ehmt1
Esrrb,Rif1
Esrrb,Ogt
Esrrb,Sox2
Esrrb,Sync
Esrrb,Las1l
Esrrb,L1td1
Esrrb,Hnrnpf
Esrrb,Numa1
Esrrb,Senp3
Esrrb,Ints7
Esrrb,Ints6
Esrrb,Hic2
Esrrb,Bptf
Esrrb,Smarcc2
Esrrb,Srek1
Esrrb,Kdm1a
Esrrb,Rreb1
Esrrb,Akap8
Esrrb,Ints10
Esrrb,Zfpm1
Esrrb,Ints9
Esrrb,Skp1a
Esrrb,Dhx57
Esrrb,Rpl18
Esrrb,Khsrp
Esrrb,Zfp655
Esrrb,Kdm5a
Esrrb,Rcor1
Esrrb,Nol9
Esrrb,Zfp687
Esrrb,Rps28
Esrrb,Phf3
Esrrb,Utf1
Esrrb,Hk1
Esrrb,Frg1
Esrrb,Nfrkb
Esrrb,Lyar
Esrrb,Lig3
Esrrb,Zmynd8
Esrrb,Zfp281
Esrrb,Rrp12
Esrrb,Tfeb
Esrrb,Ewsr1
Esrrb,Ahnak
Esrrb,Wdr76
Esrrb,Gnl3l
Esrrb,Srbd1
Esrrb,Ctr9
Esrrb,Dnaja3
Esrrb,Cstf2
Esrrb,Runx1
Esrrb,Eed
Esrrb,Hira
Esrrb,Prdm2
Esrrb,Hnrnpul2
Esrrb,Ehmt2
Esrrb,Exosc6
Esrrb,Prr12
Esrrb,Zfp143
Esrrb,Kansl3
Esrrb,Rplp2
Esrrb,Atad5
Esrrb,Zfp592
Esrrb,Mga
Esrrb,Xrcc1
Esrrb,Junb
Esrrb,Zfp326
Esrrb,Setd2
Esrrb,Mbtd1
Esrrb,Smtn
Esrrb,Ctbp1
Esrrb,Xrcc6
Esrrb,Mrm1
Esrrb,Etl4
Esrrb,Actr8
Esrrb,Cdc27
Esrrb,Ascc3
Esrrb,Ints1
Pou5f1,Esrrb
Pou5f1,Mbd3
Pou5f1,Mta2
Pou5f1,Mta1
Pou5f1,Chd4
Pou5f1,Sall4
Pou5f1,Kdm1a
Pou5f1,Gatad2a
Pou5f1,Gatad2b
Pou5f1,Hdac1
Pou5f1,Mta3
Pou5f1,Hdac2
Pou5f1,Rbbp7
Pou5f1,Smarcc1
Pou5f1,Smarca4
Pou5f1,Phc1
Pou5f1,Rnf2
Pou5f1,Rybp
Pou5f1,Trrap
Pou5f1,Ep400
Pou5f1,Zmym2
Pou5f1,Rcor2
Pou5f1,Sall1
Pou5f1,Zfp219
Pou5f1,Arid3b
Pou5f1,Wdr5
Pou5f1,Zfp462
Pou5f1,Sox2
Pou5f1,Mga
Pou5f1,Ubp1
Pou5f1,Nacc1
Pou5f1,Hcfc1
Pou5f1,Hells
Pou5f1,Rbpj
Pou5f1,Tfcp2l1
Pou5f1,Dpf2
Pou5f1,Pml
Pou5f1,Foxp4
Pou5f1,Ctbp2
Pou5f1,Nr0b1
Pou5f1,Zfp143
Pou5f1,Klf5
Pou5f1,Rif1
Pou5f1,L1td1
Pou5f1,Akap8
Pou5f1,Msh2
Pou5f1,Ogt
Pou5f1,Rbm14
Pou5f1,Frg1
Pou5f1,Smc1a
Pou5f1,2210018M11Rik
Pou5f1,0610010K14Rik
Pou5f1,2810474O19Rik
Pou5f1,Zcchc8
Pou5f1,Ewsr1
Pou5f1,Ilf2
Pou5f1,Sp1
Pou5f1,Cdk1
Pou5f1,Nanog
Pou5f1,Acin1
Pou5f1,Actl6a
Pou5f1,Amotl2
Pou5f1,Asf1a
Pou5f1,Atf2
Pou5f1,Brwd1
Pou5f1,Cabin1
Pou5f1,Cad
Pou5f1,Chd1
Pou5f1,Chd3
Pou5f1,Chd5
Pou5f1,Creb1
Pou5f1,Ctbp1
Pou5f1,Cubn
Pou5f1,Cul4b
Pou5f1,Ddb1
Pou5f1,Dhx9
Pou5f1,Dnaja1
Pou5f1,Dnmt3a
Pou5f1,Dnmt3l
Pou5f1,Emd
Pou5f1,Hira
Pou5f1,Hist1h3e
Pou5f1,Hist1h4b
Pou5f1,Hist3h2bb-ps
Pou5f1,Hnrnpab
Pou5f1,Hnrnpl
Pou5f1,Hnrnpu
Pou5f1,Ifi202b
Pou5f1,Ino80
Pou5f1,Klf4
Pou5f1,Kpna2
Pou5f1,Kpna3
Pou5f1,Lig3
Pou5f1,Matr3
Pou5f1,Mitf
Pou5f1,Msh6
Pou5f1,Kat7
Pou5f1,Nfrkb
Pou5f1,Nfyc
Pou5f1,Nudc
Pou5f1,P4ha1
Pou5f1,Parp1
Pou5f1,Jade1
Pou5f1,Ppp2r1a
Pou5f1,Psmb6
Pou5f1,Rfx2
Pou5f1,Rpa1
Pou5f1,Rpa3
Pou5f1,Sall3
Pou5f1,Smarca5
Pou5f1,Ssrp1
Pou5f1,Supt16
Pou5f1,Tfe3
Pou5f1,Tfeb
Pou5f1,Top2a
Pou5f1,Trim24
Pou5f1,Trim33
Pou5f1,Ttf2
Pou5f1,Ubn2
Pou5f1,Xrcc1
Pou5f1,Xrcc5
Pou5f1,Xrcc6
Pou5f1,Zbtb10
Pou5f1,Zbtb2
Pou5f1,Zbtb43
Pou5f1,Zfhx3
Pou5f1,Zfp217
Pou5f1,Zfp513
Pou5f1,Zic2
Pou5f1,Zscan4b
Pou5f1,Sox15
Pou5f1,Ncl
Pou5f1,Setdb1
Pou5f1,Actr3
Pou5f1,Ahnak
Pou5f1,Ankrd17
Pou5f1,Anxa2
Pou5f1,Ap2m1
Pou5f1,Aplp2
Pou5f1,Arid1a
Pou5f1,Ash2l
Pou5f1,Atp1a1
Pou5f1,Atxn10
Pou5f1,Prrc2b
Pou5f1,Bptf
Pou5f1,Brd3
Pou5f1,Brd4
Pou5f1,Bzw2
Pou5f1,Calu
Pou5f1,Cct2
Pou5f1,Cct3
Pou5f1,Cct4
Pou5f1,Cct5
Pou5f1,Cct7
Pou5f1,Cdc73
Pou5f1,Cdk3-ps
Pou5f1,Ckap5
Pou5f1,Cmas
Pou5f1,Cnn2
Pou5f1,Cnn3
Pou5f1,Cnot1
Pou5f1,Col18a1
Pou5f1,Copb1
Pou5f1,Cpsf1
Pou5f1,Cpsf2
Pou5f1,Cpsf6
Pou5f1,Csnk2a1
Pou5f1,Ctnnb1
Pou5f1,Dbt
Pou5f1,Ddx4
Pou5f1,Ddx47
Pou5f1,Dnaja2
Pou5f1,Dnajc13
Pou5f1,Dync1h1
Pou5f1,Eef2
Pou5f1,Ehd4
Pou5f1,Elavl1
Pou5f1,Esrrg
Pou5f1,Etf1
Pou5f1,Fen1
Pou5f1,Flna
Pou5f1,Flnb
Pou5f1,Fubp3
Pou5f1,Gcn1l1
Pou5f1,Gfap
Pou5f1,Gigyf2
Pou5f1,Gli2
Pou5f1,Gnb1
Pou5f1,Gtf2e1
Pou5f1,Gtf2i
Pou5f1,Hadha
Pou5f1,Hdgf
Pou5f1,Helz
Pou5f1,Hist1h1c
Pou5f1,Hk2
Pou5f1,Hspd1
Pou5f1,Hspg2
Pou5f1,Idh3b
Pou5f1,Idh3g
Pou5f1,Ilf3
Pou5f1,Ilk
Pou5f1,Jmjd1c
Pou5f1,Kif11
Pou5f1,Kif4
Pou5f1,Lama1
Pou5f1,Lamb1
Pou5f1,Lamc1
Pou5f1,Leo1
Pou5f1,Lims1
Pou5f1,Lrrc40
Pou5f1,Lrrc47
Pou5f1,Mcm5
Pou5f1,Mdc1
Pou5f1,Mfap1b
Pou5f1,Mllt10
Pou5f1,Mllt4
Pou5f1,Naca
Pou5f1,Ncor2
Pou5f1,Nedd4
Pou5f1,Nid2
Pou5f1,Nono
Pou5f1,Numa1
Pou5f1,Nup93
Pou5f1,Orc2
Pou5f1,Otx2
Pou5f1,Paf1
Pou5f1,Pak4
Pou5f1,Pbrm1
Pou5f1,Pcbp2
Pou5f1,Phf3
Pou5f1,Plk1
Pou5f1,Ppp1ca
Pou5f1,Ppp1cb
Pou5f1,Ppp1cc
Pou5f1,Ppp1r10
Pou5f1,Prpf4b
Pou5f1,Pspc1
Pou5f1,Ptbp2
Pou5f1,Rad21
Pou5f1,Rai14
Pou5f1,Rbbp5
Pou5f1,Scaf8
Pou5f1,Rbm17
Pou5f1,Rfc1
Pou5f1,Rfc4
Pou5f1,Rfc5
Pou5f1,Rpn1
Pou5f1,Rpn2
Pou5f1,Rtn4
Pou5f1,Sap130
Pou5f1,Sap30bp
Pou5f1,44441
Pou5f1,Serpinh1
Pou5f1,Sf3a2
Pou5f1,Sf3a3
Pou5f1,Shoc2
Pou5f1,Sirt6
Pou5f1,Smarca2
Pou5f1,Smarcb1
Pou5f1,Smarcc2
Pou5f1,Smarce1
Pou5f1,Smchd1
Pou5f1,Snd1
Pou5f1,Srp68
Pou5f1,Suds3
Pou5f1,Sympk
Pou5f1,Taf1
Pou5f1,Taok1
Pou5f1,Tbp
Pou5f1,Tcerg1
Pou5f1,Tfap2a
Pou5f1,Tcof1
Pou5f1,Tcp1
Pou5f1,Tdh
Pou5f1,Tet1
Pou5f1,Tmpo
Pou5f1,Top2b
Pou5f1,Tox2
Pou5f1,Tox4
Pou5f1,Tpr
Pou5f1,Trp53bp1
Pou5f1,Ubap2l
Pou5f1,Upf1
Pou5f1,Vrk1
Pou5f1,Wapal
Pou5f1,Wars
Pou5f1,Wdr33
Pou5f1,Zcchc11
Pou5f1,Cdc20
Pou5f1,H3
Pou5f1,Hist4h4
Pou5f1,Cdh1
Pou5f1,Ddx5
Pou5f1,Rn7sk
Pou5f1,Snord34
Mta2,Mbd3
Mta2,Mta1
Mta2,Chd4
Mta2,Pou5f1
Mta2,Esrrb
Mta2,Sall4
Mta2,Hdac2
Mta2,Nanog
Mta2,Rbbp7
Mta2,Hdac1
Mta2,Rbbp4
Mta2,Mbd2
Mta2,Gata1
Mta2,Satb2
Sall4,Chd4
Sall4,Gatad2a
Sall4,Mta1
Sall4,Mta2
Sall4,Gatad2b
Sall4,Mta3
Sall4,Mbd3
Sall4,Hdac1
Sall4,Hdac2
Sall4,Rbbp4
Sall4,Rbbp7
Sall4,Mbd2
Sall4,Actl6a
Sall4,Smarcc1
Sall4,Smarcd1
Sall4,Arid1a
Sall4,Smarcb1
Sall4,Smarca4
Sall4,Sall1
Sall4,Bend3
Sall4,Zfp219
Sall4,Nacc1
Sall4,Ruvbl2
Sall4,Wdr5
Sall4,Pou5f1
Sall4,Grhl2
Sall4,Sall3
Sall4,Cxxc5
Sall4,Zfp143
Sall4,Tfcp2
Sall4,Sall2
Sall4,Kif5a
Sall4,Ctbp2
Sall4,Zbtb2
Sall4,Dpf2
Sall4,Ewsr1
Sall4,Esrrb
Sall4,Usp9x
Sall4,Vrtn
Sall4,Set
Sall4,L1td1
Sall4,Nr0b1
Sall4,Tfcp2l1
Sall4,Nanog
Sall4,Tbx5
Sall4,Sox2
Sall4,Zfp287
Tfcp2l1,Chd4
Tfcp2l1,Gatad2a
Tfcp2l1,Mta1
Tfcp2l1,Mta2
Tfcp2l1,Gatad2b
Tfcp2l1,Hdac1
Tfcp2l1,Rbbp7
Tfcp2l1,Hdac2
Tfcp2l1,Mta3
Tfcp2l1,Mbd3
Tfcp2l1,Mbd2
Tfcp2l1,Trrap
Tfcp2l1,Ruvbl2
Tfcp2l1,Ep400
Tfcp2l1,Ruvbl1
Tfcp2l1,Actl6a
Tfcp2l1,Yeats4
Tfcp2l1,Vps72
Tfcp2l1,Dmap1
Tfcp2l1,Brd8
Tfcp2l1,Ing3
Tfcp2l1,Mrgbp
Tfcp2l1,Smarcc1
Tfcp2l1,Smarca4
Tfcp2l1,Arid1a
Tfcp2l1,Smarcc2
Tfcp2l1,Smarce1
Tfcp2l1,Smarcd1
Tfcp2l1,Smarcb1
Tfcp2l1,Smarcd2
Tfcp2l1,Rnf2
Tfcp2l1,Phc1
Tfcp2l1,Pcgf6
Tfcp2l1,Rybp
Tfcp2l1,Sall4
Tfcp2l1,Ubp1
Tfcp2l1,Tfcp2
Tfcp2l1,Kdm1a
Tfcp2l1,Sall1
Tfcp2l1,Esrrb
Tfcp2l1,Smarca5
Tfcp2l1,Wdr5
Tfcp2l1,Peg10
Tfcp2l1,Yeats2
Tfcp2l1,Hcfc1
Tfcp2l1,Zmym4
Tfcp2l1,Hells
Tfcp2l1,Mga
Tfcp2l1,Zfp462
Tfcp2l1,Pou5f1
Tfcp2l1,Dpf2
Tfcp2l1,Pogz
Tfcp2l1,Zfp143
Tfcp2l1,Sin3a
Tfcp2l1,Hnrnpab
Tfcp2l1,Wiz
Tfcp2l1,Adnp
Tfcp2l1,Satb2
Tfcp2l1,Kif5a
Tfcp2l1,Trim33
Tfcp2l1,Mybl2
Tfcp2l1,Bptf
Tfcp2l1,Grhl2
Tfcp2l1,L3mbtl2
Tfcp2l1,Zzz3
Tfcp2l1,Ehmt1
Tfcp2l1,Champ1
Tfcp2l1,Rif1
Tfcp2l1,Zcchc8
Tfcp2l1,Supt16
Tfcp2l1,Lig3
Tfcp2l1,Ogt
Tfcp2l1,Xrcc6
Tfcp2l1,Xrcc5
Tfcp2l1,Elmsan1
Tfcp2l1,Msh2
Tfcp2l1,L1td1
Tfcp2l1,Msh6
Tfcp2l1,Rbm14
Tfcp2l1,Xrcc1
Tfcp2l1,Polb
Tfcp2l1,2210018M11Rik
Tfcp2l1,Rpa1
Tfcp2l1,Prkdc
Tfcp2l1,Kansl3
Tfcp2l1,Akap8
Tfcp2l1,Pnkp
Tfcp2l1,Asf1a
Tfcp2l1,Cabin1
Tfcp2l1,Camsap3
Tfcp2l1,Ubqln4
Nacc1,Sall4
Nacc1,Pou5f1
Nacc1,Sall1
Nacc1,Zfp281
Nacc1,Arid3a
Nacc1,Arid3b
Nacc1,Nacc2
Nacc1,Gatad2b
Nacc1,Wdr18
Nacc1,Smarcc1
Nacc1,Rif1
Nacc1,Mybbp1a
Nacc1,Nanog
Nacc1,Tardbp
Wdr5,Pou5f1
Wdr5,Csrp2bp
Wdr5,Kat2a
Wdr5,Mbip
Wdr5,Phf20
Wdr5,Ran
Wdr5,Hcfc1
Wdr5,Hspa8
Wdr5,Nle1
Wdr5,Pafah1b1
Wdr5,Ccny
Wdr5,Wdr82
Nanog,Sall1
Nanog,Sall4
Nanog,Rif1
Nanog,Trim28
Nanog,Mybbp1a
Nanog,Nr0b1
Nanog,Nacc1
Nanog,Zfp281
Nanog,Esrrb
Nanog,Ahctf1
Nanog,Pou5f1
Nanog,Zmym2
Nanog,Ilf2
Nanog,Hdac2
Nanog,Rest
Nanog,Sp1
Nanog,Wapal
Nanog,Pbrm1
Nanog,Gatad2a
Nanog,Gatad2b
Nanog,Hdac1
Nanog,Kdm1a
Nanog,Mta1
Nanog,Mta2
Nanog,Pml
Nanog,Sin3a
Nanog,Smarca2
Nanog,Smarca4
Nanog,Mbd3
Nanog,Rbbp7
Nanog,Sox2
Nanog,Pin1
Nanog,Psmd12
Nanog,Rbmxl2
Nanog,Psmd11
Nanog,Psmd6
Nanog,Dnttip1
Nanog,Psmd2
Nanog,L1td1
Nanog,G3bp2
Nanog,Phc1
Nanog,Psmc1
Nanog,Gdf3
Nanog,Pdhb
Nanog,Stag1
Nanog,Trip12
Nanog,Msh2
Nanog,Nol6
Nanog,Msh6
Nanog,Zfp345
Nanog,Tbx3
Nanog,Parp1
Nanog,Arid5b
Nanog,Abcf2
Nanog,Krt16
Nanog,Fbxo30
Nanog,Psmd7
Nanog,Dnmt3a
Nanog,Tex10
Nanog,Tufm
Nanog,Trim27
Nanog,Krt9
Nanog,Atxn2l
Nanog,Eed
Nanog,Senp3
Nanog,Nufip2
Nanog,Uhrf1
Nanog,Hspb1
Nanog,Gapdh
Nanog,Nvl
Nanog,Rps4l
Nanog,Igf2bp1
Nanog,Cdc73
Nanog,Tsr1
Nanog,Pabpc1
Nanog,Csnk2a1
Nanog,Kat7
Nanog,Trerf1
Nanog,Wdr18
Nanog,Krt5
Nanog,Tuba4a
Nanog,Prmt5
Nanog,Xpo4
Nanog,Krt1
Nanog,Hells
Nanog,Mov10
Nanog,Pelp1
Nanog,Ssrp1
Nanog,Hspd1
Nanog,Gnl3
Nanog,Dnmt3l
Nanog,Pfkp
Nanog,Rps27
Nanog,Mcm3
Nanog,Orc1
Nanog,Pogz
Nanog,Chd4
Nanog,Fxr1
Nanog,Rfc4
Nanog,Psip1
Nanog,Rnf2
Nanog,Nono
Nanog,Tlr4
Nanog,Rbbp4
Nanog,Rfc2
Nanog,Top2a
Nanog,Ruvbl1
Nanog,Psmc4
Nanog,Zscan10
Nanog,Krt6b
Nanog,Hspa4
Nanog,Eif6
Nanog,Dnaja1
Nanog,Capza1
Nanog,Ddx27
Nanog,Psmd1
Nanog,Capza2
Nanog,Ruvbl2
Nanog,Slc25a13
Nanog,Supt16
Nanog,Dido1
Nanog,Rtcb
Nanog,Las1l
Nanog,Tubb4b
Nanog,Thoc5
Nanog,Psg22
Nanog,Myo1e
Nanog,Dnttip2
Nanog,Tdh
Nanog,Capzb
Nanog,Rps3
Nanog,Rbm14
Nanog,Tubb2b
Nanog,Kpnb1
Nanog,Cbx1
Nanog,Gnl3l
Nanog,Nsun2
Nanog,Bysl
Nanog,Rfc5
Nanog,Dnmt3b
Nanog,Nip7
Nanog,Mdn1
Nanog,Ppan
Nanog,Nop14
Nanog,Polr2h
Nanog,1110037F02Rik
Nanog,Rps29
Nanog,Tuba1a
Nanog,Gtpbp4
Nanog,Dpy30
Nanog,Rcc2
Nanog,Ahdc1
Nanog,Smarca5
Nanog,Nfkb2
Nanog,Rela
Nanog,Rel
Nanog,Relb
Nanog,Polr2a
Nanog,Brms1
Nanog,Mga
Nanog,Sap130
Nanog,Kmt2b
Nanog,Chd7
Nanog,Tpx2
Nanog,Asun
Nanog,0610010K14Rik
Nanog,Dffb
Nanog,Sec16a
Nanog,Etl4
Nanog,Myef2
Nanog,Zfp42
Nanog,Arid3b
Nanog,Zfp462
Nanog,Zfp219
Nanog,Cxxc5
Nanog,Rex2
Nanog,Bptf
Nanog,Ubtf
Nanog,Zbtb2
Nanog,Zfp326
Nanog,Sall3
Nanog,Zic3
Nanog,Zfp609
Nanog,Bnc2
Nanog,Patz1
Nanog,Fiz1
Nanog,Klf5
Nanog,Zbtb34
Nanog,Grhl2
Nanog,Mta3
Nanog,Mbd2
Nanog,Yeats4
Nanog,Dmap1
Nanog,Trrap
Nanog,Vps72
Nanog,Ep400
Nanog,Brd8
Nanog,Rybp
Nanog,Pcgf6
Nanog,Mbtd1
Nanog,Ezh2
Nanog,Cbx3
Nanog,L3mbtl2
Nanog,Max
Nanog,Ehmt1
Nanog,Ehmt2
Nanog,Hcfc1
Nanog,Ncor1
Nanog,Tbl1xr1
Nanog,Tbl1x
Nanog,Hdac3
Nanog,Ash2l
Nanog,Kat8
Nanog,Rbbp5
Nanog,Men1
Nanog,Kmt2c
Nanog,Morf4l1
Nanog,Rcor2
Nanog,Hist1h1c
Nanog,Wiz
Nanog,Cnot1
Nanog,Tet1
Nanog,Hira
Nanog,Arid1a
Nanog,Bcor
Nanog,Wdr82
Nanog,Taf9
Nanog,Supt6
Nanog,Ints1
Nanog,Polr2b
Nanog,Akap8
Nanog,Csnk1a1
Nanog,Ppp2r1a
Nanog,Stub1
Nanog,Uchl5
Nanog,Rangap1
Nanog,Ranbp2
Nanog,Raly
Nanog,Hnrnph2
Nanog,Ilf3
Nanog,Exosc6
Nanog,Rbm4b
Nanog,Dhx9
Nanog,Rbfox2
Nanog,Zcchc8
Nanog,Ddx1
Nanog,Pum1
Nanog,Wdr33
Nanog,Ints4
Nanog,Pum2
Nanog,Mad1l1
Nanog,Gtse1
Nanog,Orc5
Nanog,Sgol2
Nanog,Smc3
Nanog,Brca1
Nanog,2210018M11Rik
Nanog,Brca2
Nanog,Dcaf7
Nanog,Sec13
Nanog,Dpf2
Nanog,Zfr
Nanog,Kpna2
Nanog,Qser1
Nanog,Elmsan1
Nanog,Mapk3
Nanog,Mapk1
Nanog,Fbxw4
Nanog,Fbxw5
Nanog,Fbxw8
Nanog,Hist4h4
Nanog,Jmjd1c
Nanog,Ncor2
Nanog,Hnrnpm
Nanog,Skiv2l2
Nanog,Lmnb1
Nanog,Usp21
Nanog,Gnb2l1
Nanog,Rn7sk
Nanog,Snord34
Zfp281,Ewsr1
Zfp281,Cdk1
Zfp281,Dpf2
Zfp281,Sall4
Zfp281,Rif1
Zfp281,Nanog
Zfp281,Klf15
