Official Symbol Interactor A,Official Symbol Interactor B
Per1,Cry2
Per1,Tlx3
Per1,Foxp1
Per1,Sin3a
Per1,Arntl
Per1,Csnk1e
Per1,Csnk1d
Per1,Nono
Per1,Sfpq
Per1,Usp2
Per1,Fam110b
Per1,Farp2
Per1,Stox2
Per1,Timeless
Per2,Clock
Per2,Per1
Per2,Per3
Per2,Cry1
Per2,Cry2
Per2,Gtf2a1
Per2,Foxp1
Per2,Med16
Per2,Sfpq
Per2,Sin3a
Per2,Arntl
Per2,Csnk1e
Per2,Csnk1d
Per2,Nono
Per2,Btrc
Per2,Usp2
Per2,Pml
Per2,Cdk5
Per2,Hlf
Per2,Timeless
Cry1,Clock
Cry1,Per1
Cry1,Per2
Cry1,Per3
Cry1,Cry2
Cry1,Timeless
Cry1,Arntl
Cry1,Sin3b
Cry1,Hdac1
Cry1,Hdac2
Cry1,Usp2
Cry1,Cblb
Cry1,Fam110b
Cry1,Fam199x
Cry1,Fam83h
Cry1,Farp2
Cry1,Zswim8
Cry2,Clock
Cry2,Per1
Cry2,Per2
Cry2,Per3
Cry2,Cry1
Cry2,Kpna2
Cry2,Kpna4
Cry2,Kpna6
Cry2,Usp2
Prpf40a,Wasf2
Prpf40a,Wasf3
Prpf40a,Wasl
Prpf40a,Wasf1
Prpf40a,Fmn1
Sufu,Hist1h2ai
Sufu,Ncoa3
Sufu,Setdb1
Sufu,Zfp219
Sufu,Lgals3
Sufu,Sap18
Sufu,Pias1
Sufu,Rnf19a
Sufu,Rbpj
Sufu,Prdx5
Sufu,Sin3a
Sufu,Gli1
Sufu,Gli2
Sufu,Gli3
Lgals3,Sufu
Lgals3,Cubn
Lgals3,Cyhr1
Lgals3,Klb
Ncoa3,Rnf19a
Ncoa3,Setdb1
Ncoa3,Zfp219
Ncoa3,Lgals3
Ncoa3,Sap18
Ncoa3,Prdx5
Ncoa3,Pias1
Ncoa3,Ptpn6
Ncoa3,Nr1i2
Ncoa3,Per1
Ncoa3,Tbx4
Ncoa3,Hnf4g
Ncoa3,Sirt2
Ncoa3,Polr3f
Ncoa3,Ercc8
Ncoa3,Gtf2e1
Ncoa3,Cers2
Ncoa3,Trps1
Ncoa3,Sirt1
Ncoa3,Ehmt2
Ncoa3,Tle6
Ncoa3,Rorb
Ncoa3,Gcfc2
Ncoa3,Crebbp
Ncoa3,Tia1
Ncoa3,Tial1
Ncoa3,Myod1
Ncoa3,Nrip1
Ncoa3,Chuk
Ncoa3,Nr1h3
Rnf19a,Sufu
Rnf19a,Pias1
Rnf19a,Vcp
Zfp219,Hist1h2ai
Pias1,Setdb1
Pias1,Zfp219
Pias1,Lgals3
Pias1,Sap18
Pias1,Ncoa3
Pias1,Plagl2
Pias1,Tbp
Pias1,Ndn
Pias1,Hectd2
Sap18,Sufu
Sap18,Hist1h2ai
Sap18,Pias1
Sap18,Smg6
Sap18,Taf1
Mc4r,Atrnl1
Tyrobp,Cd200r1
Tyrobp,Klrk1
Tyrobp,Hcst
Tyrobp,Inpp5d
Grik4,Grik2
Grik4,Grik3
Hcn2,Hcn1
Hcn2,Grb2
Hcn2,Src
Hcn2,Hcn4
Gmcl1,Tsg101
Gmcl1,Tmpo
Fgd1,Cttn
Fgd1,Aoc1
Naa10,Naa15
Scyl1,Gorab
Gorab,Scyl1
Mllt3,Bcor
Mllt3,Dot1l
Mllt3,Cbx8
Mllt3,Rnf2
Ror1,Maged1
Ror2,Maged1
Ror2,Wnt5a
Ror2,Gsk3a
Ror2,Gsk3b
Hsph1,Tuba1a
Hsph1,Dnajb4
Hsph1,Gspt1
Hsph1,Rtn4ip1
Hsph1,Selo
Hsph1,Add1
Hsph1,Ahsa1
Hsph1,Carm1
Hsph1,Parva
Hsph1,Ranbp3
Tuba1a,Hsph1
Tuba1a,Cct7
Tuba1a,Cct4
Tuba1a,Pacsin1
Tuba1a,Pacsin2
Tuba1a,Atg4b
Tuba1a,Prmt1
Tuba1a,Prmt5
Tuba1a,Tbcb
Tuba1a,Tubb2a
Tuba1a,Tubb4b
Tuba1a,Tubb5
